Month,QuestionCount
"2008-07-01 00:00:00","4"
"2008-08-01 00:00:00","3746"
"2008-09-01 00:00:00","14033"
"2008-10-01 00:00:00","14578"
"2008-11-01 00:00:00","12714"
"2008-12-01 00:00:00","12078"
"2009-01-01 00:00:00","15832"
"2009-02-01 00:00:00","17580"
"2009-03-01 00:00:00","20481"
"2009-04-01 00:00:00","21336"
"2009-05-01 00:00:00","25812"
"2009-06-01 00:00:00","28324"
"2009-07-01 00:00:00","32477"
"2009-08-01 00:00:00","32773"
"2009-09-01 00:00:00","33052"
"2009-10-01 00:00:00","36329"
"2009-11-01 00:00:00","38513"
"2009-12-01 00:00:00","37792"
"2010-01-01 00:00:00","44935"
"2010-02-01 00:00:00","44808"
"2010-03-01 00:00:00","52233"
"2010-04-01 00:00:00","50080"
"2010-05-01 00:00:00","51995"
"2010-06-01 00:00:00","55745"
"2010-07-01 00:00:00","60844"
"2010-08-01 00:00:00","63656"
"2010-09-01 00:00:00","61224"
"2010-10-01 00:00:00","63773"
"2010-11-01 00:00:00","69692"
"2010-12-01 00:00:00","69565"
"2011-01-01 00:00:00","79903"
"2011-02-01 00:00:00","82937"
"2011-03-01 00:00:00","100960"
"2011-04-01 00:00:00","95556"
"2011-05-01 00:00:00","100225"
"2011-06-01 00:00:00","99023"
"2011-07-01 00:00:00","100439"
"2011-08-01 00:00:00","106907"
"2011-09-01 00:00:00","101719"
"2011-10-01 00:00:00","101032"
"2011-11-01 00:00:00","108442"
"2011-12-01 00:00:00","103167"
"2012-01-01 00:00:00","115426"
"2012-02-01 00:00:00","123276"
"2012-03-01 00:00:00","132973"
"2012-04-01 00:00:00","128032"
"2012-05-01 00:00:00","133500"
"2012-06-01 00:00:00","130300"
"2012-07-01 00:00:00","141891"
"2012-08-01 00:00:00","141483"
"2012-09-01 00:00:00","132207"
"2012-10-01 00:00:00","150038"
"2012-11-01 00:00:00","148249"
"2012-12-01 00:00:00","135424"
"2013-01-01 00:00:00","157788"
"2013-02-01 00:00:00","153381"
"2013-03-01 00:00:00","173753"
"2013-04-01 00:00:00","171496"
"2013-05-01 00:00:00","166392"
"2013-06-01 00:00:00","158278"
"2013-07-01 00:00:00","176565"
"2013-08-01 00:00:00","170167"
"2013-09-01 00:00:00","165305"
"2013-10-01 00:00:00","184062"
"2013-11-01 00:00:00","175943"
"2013-12-01 00:00:00","165128"
"2014-01-01 00:00:00","188715"
"2014-02-01 00:00:00","187688"
"2014-03-01 00:00:00","207413"
"2014-04-01 00:00:00","193930"
"2014-05-01 00:00:00","175934"
"2014-06-01 00:00:00","162287"
"2014-07-01 00:00:00","176997"
"2014-08-01 00:00:00","163330"
"2014-09-01 00:00:00","165785"
"2014-10-01 00:00:00","172793"
"2014-11-01 00:00:00","166527"
"2014-12-01 00:00:00","155227"
"2015-01-01 00:00:00","165894"
"2015-02-01 00:00:00","168425"
"2015-03-01 00:00:00","189654"
"2015-04-01 00:00:00","189838"
"2015-05-01 00:00:00","185750"
"2015-06-01 00:00:00","187782"
"2015-07-01 00:00:00","195335"
"2015-08-01 00:00:00","181290"
"2015-09-01 00:00:00","177743"
"2015-10-01 00:00:00","186249"
"2015-11-01 00:00:00","178055"
"2015-12-01 00:00:00","172417"
"2016-01-01 00:00:00","181107"
"2016-02-01 00:00:00","188498"
"2016-03-01 00:00:00","201801"
"2016-04-01 00:00:00","197027"
"2016-05-01 00:00:00","189723"
"2016-06-01 00:00:00","184617"
"2016-07-01 00:00:00","176931"
"2016-08-01 00:00:00","181931"
"2016-09-01 00:00:00","171642"
"2016-10-01 00:00:00","175370"
"2016-11-01 00:00:00","175287"
"2016-12-01 00:00:00","162393"
"2017-01-01 00:00:00","176936"
"2017-02-01 00:00:00","175242"
"2017-03-01 00:00:00","201493"
"2017-04-01 00:00:00","178475"
"2017-05-01 00:00:00","186480"
"2017-06-01 00:00:00","178144"
"2017-07-01 00:00:00","179826"
"2017-08-01 00:00:00","177718"
"2017-09-01 00:00:00","162341"
"2017-10-01 00:00:00","170051"
"2017-11-01 00:00:00","168936"
"2017-12-01 00:00:00","145297"
"2018-01-01 00:00:00","160520"
"2018-02-01 00:00:00","153127"
"2018-03-01 00:00:00","172977"
"2018-04-01 00:00:00","162463"
"2018-05-01 00:00:00","167514"
"2018-06-01 00:00:00","154714"
"2018-07-01 00:00:00","160061"
"2018-08-01 00:00:00","158507"
"2018-09-01 00:00:00","144543"
"2018-10-01 00:00:00","160464"
"2018-11-01 00:00:00","149781"
"2018-12-01 00:00:00","132235"
"2019-01-01 00:00:00","149588"
"2019-02-01 00:00:00","146374"
"2019-03-01 00:00:00","161115"
"2019-04-01 00:00:00","153535"
"2019-05-01 00:00:00","151348"
"2019-06-01 00:00:00","135904"
"2019-07-01 00:00:00","151027"
"2019-08-01 00:00:00","137143"
"2019-09-01 00:00:00","136904"
"2019-10-01 00:00:00","152681"
"2019-11-01 00:00:00","148297"
"2019-12-01 00:00:00","132579"
"2020-01-01 00:00:00","146693"
"2020-02-01 00:00:00","145153"
"2020-03-01 00:00:00","155999"
"2020-04-01 00:00:00","182961"
"2020-05-01 00:00:00","186512"
"2020-06-01 00:00:00","171957"
"2020-07-01 00:00:00","166066"
"2020-08-01 00:00:00","148388"
"2020-09-01 00:00:00","141841"
"2020-10-01 00:00:00","141853"
"2020-11-01 00:00:00","134989"
"2020-12-01 00:00:00","133943"
"2021-01-01 00:00:00","139911"
"2021-02-01 00:00:00","131724"
"2021-03-01 00:00:00","148801"
"2021-04-01 00:00:00","135921"
"2021-05-01 00:00:00","133844"
"2021-06-01 00:00:00","129042"
"2021-07-01 00:00:00","124040"
"2021-08-01 00:00:00","122199"
"2021-09-01 00:00:00","119822"
"2021-10-01 00:00:00","118944"
"2021-11-01 00:00:00","119190"
"2021-12-01 00:00:00","112212"
"2022-01-01 00:00:00","119376"
"2022-02-01 00:00:00","114053"
"2022-03-01 00:00:00","123525"
"2022-04-01 00:00:00","114318"
"2022-05-01 00:00:00","116284"
"2022-06-01 00:00:00","111680"
"2022-07-01 00:00:00","111003"
"2022-08-01 00:00:00","112988"
"2022-09-01 00:00:00","103906"
"2022-10-01 00:00:00","106307"
"2022-11-01 00:00:00","109665"
"2022-12-01 00:00:00","96657"
"2023-01-01 00:00:00","97126"
"2023-02-01 00:00:00","85914"
"2023-03-01 00:00:00","87419"
"2023-04-01 00:00:00","68691"
"2023-05-01 00:00:00","66638"
"2023-06-01 00:00:00","63773"
"2023-07-01 00:00:00","62882"
"2023-08-01 00:00:00","60232"
"2023-09-01 00:00:00","52886"
"2023-10-01 00:00:00","52538"
"2023-11-01 00:00:00","50385"
"2023-12-01 00:00:00","42425"
"2024-01-01 00:00:00","47714"
"2024-02-01 00:00:00","46115"
"2024-03-01 00:00:00","44819"
"2024-04-01 00:00:00","42528"
"2024-05-01 00:00:00","40259"
"2024-06-01 00:00:00","32077"
"2024-07-01 00:00:00","31521"
"2024-08-01 00:00:00","27912"
"2024-09-01 00:00:00","24801"
"2024-10-01 00:00:00","23235"
"2024-11-01 00:00:00","20858"
"2024-12-01 00:00:00","17985"
"2025-01-01 00:00:00","18248"
"2025-02-01 00:00:00","15572"
"2025-03-01 00:00:00","16345"
"2025-04-01 00:00:00","13890"
"2025-05-01 00:00:00","11575"
"2025-06-01 00:00:00","9211"
"2025-07-01 00:00:00","7764"
"2025-08-01 00:00:00","5847"
"2025-09-01 00:00:00","6071"
"2025-10-01 00:00:00","5340"
"2025-11-01 00:00:00","4283"
"2025-12-01 00:00:00","3350"
"2026-01-01 00:00:00","2987"
"2026-02-01 00:00:00","2390"
"2026-03-01 00:00:00","1775"
